
2025/04/29 (11:37:41) | ===> btop++ v.1.3.0
2025/04/29 (11:37:41) | WARNING: Failed to join _runner thread on exit!

2025/04/30 (06:10:11) | ===> btop++ v.1.3.0
2025/04/30 (06:10:11) | WARNING: Failed to join _runner thread on exit!

2025/05/18 (23:22:42) | ===> btop++ v.1.3.0
2025/05/18 (23:22:42) | WARNING: Failed to join _runner thread on exit!

2025/05/18 (23:24:16) | ===> btop++ v.1.3.0
2025/05/18 (23:24:16) | WARNING: Failed to join _runner thread on exit!

2025/05/27 (16:13:30) | ===> btop++ v.1.3.0
2025/05/27 (16:13:30) | WARNING: Failed to join _runner thread on exit!

2025/06/24 (21:12:44) | ===> btop++ v.1.3.0
2025/06/24 (21:12:44) | WARNING: Failed to join _runner thread on exit!

2025/06/27 (10:51:41) | ===> btop++ v.1.3.0
2025/06/27 (10:51:41) | WARNING: Failed to join _runner thread on exit!

2025/07/05 (12:53:19) | ===> btop++ v.1.3.0
2025/07/05 (12:53:19) | WARNING: Failed to join _runner thread on exit!
